"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_red_bull_ring",,,"Worksheet",""
"Vehicle","ks_glickenhaus_scg003",,,"Vehicle Desc",""
"Driver","doju",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","4/20/2026",,,"Origin Time","0.000","s"
"Log Time","7:34:00 PM",,,"Start Time","0.000","s"
"Sample Rate","50.000","Hz",,"End Time","197.750","s"
"Duration","197.750","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","8761","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000000000","0.00","26","26","26","26","0.0335","0.2289","-0.4658","333.173","-3.416","-3.233","-2.353","-2.257","-230.8","321.8","-11.812","0","0","0","0","0.0005","-6.67644","-6.67644","0.436","-3.785","1.631","-1.187","59.655","0.077","0.4325","-0.60","100","0","0","170.81","0","0","0","0","0","0","0.0000","6158.9","0","30","5.0000","214.74","0.0000","0","0","0","0","0","0.0000","0","0.01","0.01","0.00","0.000","0.0000","110","614.86160","7500","99.999990000","99.999990000","99.999990000","99.999990000","290","1.80000","0.0000","1","1","20.00","79.019","79.019","75.25","75.25","37","-10.88","22.01","-14.49","22.83","0.0000","1710.37","-0.46","100","16.884","18.263","26.776","27.988","0.0000","1","100.00","0","0","0","0","2867","3563","3508","3783","331.588","329.491","345.128","344.315","20.8857","20.7716","22.2697","22.1803","340.000000000","340.000000000","354.999980000","354.999980000","99.5091","99.5074","99.5740","99.5710","0.160","0.038","-0.014","0.195","-0.078","-0.083","2.055","2.027","56.535","55.822","65.186","64.627","52.389","51.343","67.777","67.057","51.305","50.357","65.919","65.184","50.752","49.856","65.138","64.370","-0.074","-0.010","0.11546","0.11420","1.0500","174.45","174.51","170.72","170.72","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000004000","0.00","26","26","26","26","0.0434","0.2405","-0.3043","330.820","-3.448","-3.304","-2.324","-2.241","-229.6","322.1","-11.813","0","0","0","0","0.0005","-6.67644","-6.67644","0.433","-1.097","1.592","-1.428","59.703","0.083","0.4717","-0.66","100","0","0","170.68","0","0","0","0","0","0","0.0000","6154.3","0","30","5.0000","214.91","0.0000","0","0","0","0","0","0.0000","0","0.01","0.01","0.00","0.000","0.0000","110","614.86160","7500","99.999991600","99.999991600","99.999991600","99.999991600","290","1.80000","0.0000","1","1","78.67","75.460","75.460","73.97","73.97","37","-15.39","27.81","-17.95","28.69","0.0000","1710.37","-0.42","100","18.338","19.548","26.291","27.335","0.0000","1","100.00","0","0","0","0","3658","4166","4127","4328","329.196","327.638","343.476","342.849","20.8856","20.7716","22.2704","22.1810","340.000001600","340.000001600","354.999983600","354.999983600","99.5091","99.5074","99.5740","99.5711","0.159","0.040","-0.010","0.209","-0.074","-0.081","1.894","1.862","56.535","55.822","65.190","64.631","52.390","51.345","67.777","67.058","51.304","50.358","65.918","65.185","50.750","49.856","65.136","64.370","-0.070","-0.015","0.11579","0.11469","1.0500","174.72","174.77","170.69","170.69","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000008000","0.00","26","26","26","26","0.0533","0.2521","-0.1427","328.467","-3.481","-3.374","-2.294","-2.225","-228.5","322.5","-11.814","0","0","0","0","0.0005","-6.67644","-6.67644","0.430","1.591","1.554","-1.669","59.750","0.088","0.5109","-0.72","100","0","0","170.55","0","0","0","0","0","0","0.0000","6149.7","0","30","5.0000","215.08","0.0000","0","0","0","0","0","0.0000","0","0.01","0.01","0.00","0.000","0.0000","110","614.86160","7500","99.999993200","99.999993200","99.999993200","99.999993200","290","1.80000","0.0000","1","1","137.33","71.901","71.901","72.70","72.70","37","-19.90","33.61","-21.42","34.54","0.0000","1710.37","-0.37","100","19.791","20.833","25.806","26.682","0.0000","1","100.00","0","0","0","0","4448","4770","4747","4873","326.805","325.786","341.825","341.384","20.8855","20.7716","22.2711","22.1817","340.000003200","340.000003200","354.999987200","354.999987200","99.5091","99.5074","99.5741","99.5711","0.158","0.041","-0.006","0.222","-0.071","-0.078","1.733","1.697","56.534","55.822","65.194","64.635","52.391","51.347","67.777","67.060","51.303","50.359","65.917","65.185","50.749","49.856","65.135","64.370","-0.067","-0.019","0.11611","0.11519","1.0500","174.99","175.03","170.66","170.66","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000010000","0.00","26","26","26","26","0.0598","0.2534","0.0209","324.963","-3.528","-3.458","-2.335","-2.281","-227.3","322.8","-11.816","0","0","0","0","0.0012","-6.67644","-6.67644","0.482","3.693","1.527","-1.403","59.798","0.091","0.5673","-0.71","100","0","0","170.42","0","0","0","0","0","0","0.0000","6144.9","0","30","5.0000","215.26","1.0000","0","0","0","0","0","0.0000","0","0.06","0.06","0.00","0.000","1.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","166.66","68.509","68.509","69.06","69.06","37","-23.32","37.61","-26.95","42.34","0.0000","1710.32","-0.30","100","21.804","22.597","27.564","28.215","0.0000","1","100.00","0","0","0","0","5013","5196","5431","5507","325.094","324.475","339.924","339.616","20.8856","20.7718","22.2721","22.1826","340.000004000","340.000004000","354.999989000","354.999989000","99.5092","99.5074","99.5741","99.5712","0.159","0.035","-0.005","0.225","-0.066","-0.074","1.555","1.519","56.535","55.823","65.200","64.641","52.395","51.351","67.780","67.064","51.306","50.361","65.919","65.188","50.750","49.857","65.136","64.373","-0.062","-0.024","0.11399","0.11328","1.0500","175.23","175.27","170.54","170.54","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000010000","0.00","26","26","26","26","0.0627","0.2445","0.1865","320.306","-3.589","-3.556","-2.447","-2.409","-226.1","323.1","-11.817","0","0","0","0","0.0012","-6.67644","-6.67644","0.587","5.207","1.511","-0.631","59.845","0.092","0.6410","-0.61","100","0","0","170.28","0","0","0","0","0","0","0.0000","6140.0","0","30","5.0000","215.43","1.0000","0","0","0","0","0","0.0000","0","0.06","0.06","0.00","0.000","1.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","166.66","65.285","65.285","63.06","63.06","37","-25.65","39.81","-34.55","52.07","0.0000","1710.32","-0.21","100","24.376","24.839","31.564","31.932","0.0000","1","100.00","0","0","0","0","5351","5444","6180","6232","324.065","323.705","337.772","337.543","20.8859","20.7721","22.2734","22.1839","340.000004000","340.000004000","354.999989000","354.999989000","99.5092","99.5074","99.5742","99.5712","0.164","0.021","-0.007","0.218","-0.060","-0.068","1.360","1.330","56.537","55.825","65.208","64.649","52.402","51.357","67.787","67.072","51.311","50.364","65.924","65.194","50.754","49.860","65.141","64.378","-0.057","-0.028","0.10941","0.10896","1.0500","175.44","175.48","170.35","170.35","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000010000","0.00","26","26","26","26","0.0657","0.2355","0.3521","315.650","-3.651","-3.653","-2.559","-2.537","-224.9","323.5","-11.818","0","0","0","0","0.0019","-6.67644","-6.67644","0.693","6.722","1.495","0.141","59.892","0.092","0.7147","-0.52","100","0","0","170.14","0","0","0","0","0","0","0.0000","6135.0","0","30","5.0000","215.60","0.0000","0","0","0","0","0","0.0000","0","0.11","0.11","0.00","0.000","0.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","166.66","62.061","62.061","57.06","57.06","37","-27.97","42.01","-42.15","61.81","0.0000","1710.27","-0.12","100","26.948","27.081","35.564","35.649","0.0000","1","100.00","0","0","0","0","5689","5692","6929","6957","323.036","322.936","335.620","335.471","20.8862","20.7724","22.2746","22.1851","340.000004000","340.000004000","354.999989000","354.999989000","99.5092","99.5074","99.5742","99.5713","0.168","0.007","-0.009","0.210","-0.054","-0.062","1.166","1.140","56.538","55.828","65.216","64.657","52.409","51.363","67.793","67.079","51.316","50.368","65.929","65.200","50.758","49.863","65.145","64.383","-0.053","-0.032","0.10484","0.10465","1.0500","175.65","175.68","170.16","170.16","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.0000","0.00","68.0000010000","0.00","26","26","26","26","0.0623","0.2344","0.4237","312.559","-3.701","-3.676","-2.678","-2.639","-223.8","323.8","-11.816","0","0","0","0","0.0019","-6.67644","-6.67644","0.817","6.277","1.512","0.565","59.934","0.088","0.7525","-0.39","100","0","0","170.17","0","0","0","0","0","0","0.0000","6136.0","0","30","5.0000","215.75","0.0000","0","0","0","0","0","0.0000","0","0.11","0.11","0.00","0.000","0.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","144.44","61.039","61.039","52.03","52.03","37","-28.40","41.62","-48.08","67.72","0.0000","1710.27","-0.02","100","27.975","28.169","39.382","39.715","0.0000","1","100.00","0","0","0","0","5652","5775","7345","7443","323.102","322.687","334.406","334.064","20.8866","20.7728","22.2762","22.1867","340.000004000","340.000004000","354.999989000","354.999989000","99.5092","99.5074","99.5743","99.5713","0.167","-0.010","-0.009","0.192","-0.054","-0.059","1.097","1.080","56.541","55.830","65.226","64.667","52.417","51.370","67.804","67.092","51.322","50.373","65.938","65.211","50.763","49.867","65.153","64.392","-0.046","-0.037","0.10028","0.09975","1.0500","175.76","175.78","170.17","170.17","0","0"
