"Format","MoTeC CSV File",,,"Workbook",""
"Venue","spa",,,"Worksheet",""
"Vehicle","ks_glickenhaus_scg003",,,"Vehicle Desc",""
"Driver","doju",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","HOTLAP"
"Log Date","4/22/2026",,,"Origin Time","0.000","s"
"Log Time","12:48:00 AM",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","512.200","s"
"Duration","512.200","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","23431","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000000000","0.00","26","26","26","26","0.004","0.3814","0.2202","327.23","-3.247","-3.391","-2.240","-2.304","243.8","-623.8","19.13","0","0","0","0","0.0004","-6.67644","-6.67644","1.593","3.354","-1.227","1.15","44.34","-0.012","0.4194","-0.04","100","0","0","126.96","0","0","0","0","0","0","0.0000","7022","0","30","3.0000","159.59","0.0000","0","0","0","0","0","0.0000","0","0.00","0.00","0.00","0.00","0.0000","110","614.86160","7500","99.999990000","99.999990000","99.999990000","99.999990000","290","1.80000","0.0000","1","1","20.00","72.84","72.84","68.45","68.45","37","-24.17","25.12","-33.02","31.39","0.0000","1682.05","-0.12","100","21.26","20.73","29.99","30.14","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4336","4584","5366","5466","327.949","327.751","340.751","340.506","23.7357","23.8250","24.1230","24.1515","340.000000000","340.000000000","354.999980000","354.999980000","99.5137","99.5187","99.5325","99.5348","0.056","-0.080","-0.129","0.084","-0.07","-0.06","1.83","1.824","74.348","74.906","76.769","76.947","69.582","71.417","76.096","76.869","68.830","70.472","75.166","75.924","68.251","69.747","74.528","75.293","-0.050","-0.036","0.11184","0.11166","1.0500","130.01","130.01","126.86","126.86","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000010000","0.00","26","26","26","26","0.007","-0.0665","0.0825","327.20","-3.337","-3.429","-2.329","-2.408","245.3","-626.0","19.18","0","0","0","0","0.0008","-6.67644","-6.67644","1.690","-1.960","-1.182","0.49","44.46","-0.012","0.4716","-0.16","100","0","0","124.86","0","0","0","0","0","0","0.0000","6827","0","30","0.0000","160.07","1.0000","0","0","0","0","0","0.0000","0","0.06","0.06","0.00","0.00","1.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","33.33","78.23","78.23","64.16","64.16","37","-15.78","14.02","-42.73","43.99","0.0000","1681.99","-0.17","100","19.71","19.45","34.10","34.58","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3128","2952","5599","5902","331.662","332.102","339.742","339.367","23.7333","23.8229","24.1240","24.1527","340.000004000","340.000004000","354.999989000","354.999989000","99.5137","99.5187","99.5326","99.5349","0.065","-0.096","-0.122","0.096","-0.00","0.00","0.13","0.117","74.333","74.894","76.775","76.954","69.538","71.370","76.091","76.862","68.784","70.423","75.156","75.914","68.204","69.698","74.516","75.281","-0.053","-0.032","0.10621","0.10564","1.0007","130.37","130.39","125.00","125.01","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000010000","0.00","26","26","26","26","0.014","-0.1025","0.0009","328.23","-3.288","-3.430","-2.439","-2.442","246.5","-627.6","19.22","0","0","0","0","0.0011","-6.67644","-6.67644","1.550","-2.558","-1.145","0.96","44.42","-0.012","0.3699","-0.09","100","0","0","124.73","0","0","0","0","0","0","0.0000","6498","0","30","0.0000","159.91","0.0000","0","0","0","0","0","0.0000","0","0.11","0.11","0.00","0.00","0.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","33.33","73.66","73.66","70.15","70.15","37","-24.50","23.88","-29.33","29.22","0.0000","1681.94","-0.23","100","20.52","20.00","32.22","32.75","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4408","4378","4150","4378","328.169","328.368","344.018","343.418","23.7318","23.8217","24.1242","24.1530","340.000004000","340.000004000","354.999989000","354.999989000","99.5137","99.5187","99.5326","99.5349","0.057","-0.081","-0.115","0.077","-0.03","-0.03","-0.03","-0.034","74.324","74.885","76.776","76.957","69.509","71.338","76.055","76.825","68.754","70.390","75.120","75.875","68.174","69.664","74.478","75.242","-0.055","-0.030","0.10891","0.10828","0.9235","130.20","130.21","124.74","124.74","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000010000","0.00","26","26","26","26","0.009","-0.1052","0.0897","328.77","-3.292","-3.418","-2.376","-2.388","247.7","-629.5","19.26","0","0","0","0","0.0014","-6.67644","-6.67644","1.492","-0.715","-1.109","1.00","44.37","-0.011","0.3273","-0.20","100","0","0","124.62","0","0","0","0","0","0","0.0000","6153","0","30","0.0000","159.74","1.0000","0","0","0","0","0","0.0000","0","0.16","0.16","0.00","0.00","1.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","55.56","74.14","74.14","70.51","70.51","37","-19.82","19.88","-34.42","32.72","0.0000","1681.89","-0.35","100","21.67","21.15","30.49","30.72","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3798","3788","4719","4742","329.473","329.823","342.535","342.512","23.7303","23.8206","24.1243","24.1533","340.000004000","340.000004000","354.999989000","354.999989000","99.5138","99.5187","99.5326","99.5349","0.074","-0.082","-0.123","0.092","-0.02","-0.01","-0.02","-0.034","74.314","74.879","76.777","76.958","69.480","71.306","76.014","76.782","68.723","70.356","75.079","75.831","68.141","69.629","74.436","75.198","-0.064","-0.022","0.11059","0.11033","0.8433","130.12","130.13","124.64","124.65","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000010000","0.00","26","26","26","26","0.017","-0.1999","-0.1245","330.54","-3.282","-3.372","-2.224","-2.285","248.9","-631.3","19.30","0","0","0","0","0.0017","-6.67644","-6.67644","1.452","-1.355","-1.077","0.38","44.36","-0.011","0.3200","-0.26","100","0","0","124.29","0","0","0","0","0","0","0.0000","5583","0","30","4.0000","159.72","0.0000","0","0","0","0","0","0.0000","0","0.21","0.21","0.00","0.00","0.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","66.67","76.17","76.17","72.08","72.08","37","-15.74","15.87","-29.72","27.77","0.0000","1681.84","-0.41","100","21.28","20.84","29.66","30.32","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3224","3176","4414","4287","331.252","331.400","343.348","343.564","23.7285","23.8192","24.1244","24.1537","340.000004000","340.000004000","354.999989000","354.999989000","99.5138","99.5187","99.5327","99.5349","0.077","-0.078","-0.118","0.091","0.00","-0.00","-0.35","-0.366","74.303","74.870","76.778","76.960","69.448","71.272","75.988","76.756","68.689","70.320","75.051","75.804","68.106","69.592","74.408","75.169","-0.068","-0.018","0.11140","0.11074","0.7741","130.09","130.11","124.35","124.36","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000010000","0.00","26","26","26","26","0.020","0.3379","-0.1055","331.13","-3.225","-3.372","-2.168","-2.269","250.1","-633.0","19.34","0","0","0","0","0.0020","-6.67644","-6.67644","1.424","-0.803","-0.961","0.98","44.48","-0.008","0.3299","-0.29","100","0","0","127.36","0","0","0","0","0","0","0.0000","5721","0","30","4.0000","160.10","1.0000","0","0","0","0","0","0.0000","0","0.25","0.25","0.00","0.00","1.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","83.33","76.30","76.30","73.37","73.37","37","-18.16","17.10","-24.84","25.26","0.0000","1681.79","-0.41","100","20.56","20.12","28.15","28.48","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3592","3342","4518","4610","330.479","331.035","343.048","342.823","23.7266","23.8175","24.1245","24.1539","340.000004000","340.000004000","354.999989000","354.999989000","99.5138","99.5187","99.5329","99.5351","0.062","-0.073","-0.117","0.096","-0.06","-0.07","1.91","1.895","74.291","74.859","76.778","76.962","69.381","71.196","75.975","76.742","68.619","70.242","75.032","75.785","68.034","69.512","74.385","75.145","-0.068","-0.018","0.11397","0.11360","0.8782","130.26","130.28","127.25","127.25","0","0"
"0.0000","1","1","1","1","0","0","0","0","50","1","1.18560","26","0","0.000","0.00","68.0000010000","0.00","26","26","26","26","0.022","0.3854","0.0236","329.93","-3.325","-3.399","-2.193","-2.180","251.8","-635.6","19.39","0","0","0","0","0.0025","-6.67644","-6.67644","1.457","1.782","-0.943","0.96","44.72","-0.002","0.3987","-0.35","100","0","0","127.98","0","0","0","0","0","0","0.0000","5749","0","30","4.0000","160.97","0.0000","0","0","0","0","0","0.0000","0","0.33","0.33","0.00","0.00","0.0000","110","614.86161","7500","99.999994000","99.999994000","99.999994000","99.999994000","290","1.80000","0.0000","1","1","14.49","76.03","76.03","71.01","71.01","37","-17.43","17.99","-31.86","30.48","0.0000","1681.72","-0.29","100","20.86","20.33","27.63","28.51","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3417","3480","5442","5329","330.761","330.536","340.763","340.946","23.7242","23.8156","24.1248","24.1547","340.000004000","340.000004000","354.999989000","354.999989000","99.5138","99.5187","99.5329","99.5352","0.071","-0.079","-0.117","0.107","-0.06","-0.06","1.87","1.841","74.276","74.847","76.781","76.966","69.369","71.183","75.975","76.743","68.606","70.229","75.032","75.784","68.020","69.498","74.384","75.144","-0.062","-0.024","0.11428","0.11345","1.0097","131.05","131.08","127.95","127.95","0","0"
